"","state","county","GEO_ID","S2201_C01_021E","S2201_C01_021EA","S2201_C03_001E","S2201_C03_001EA","S2201_C01_001E","S2201_C01_001EA","year"
"262","48","147","0500000US48147",2083,NA,1456,NA,12022,NA,2016
"263","48","041","0500000US48041",20187,NA,6659,NA,75797,NA,2016
"264","48","165","0500000US48165",630,NA,393,NA,5630,NA,2016
"265","48","179","0500000US48179",1175,NA,965,NA,8201,NA,2016
"266","48","237","0500000US48237",438,NA,326,NA,3066,NA,2016
"267","48","035","0500000US48035",959,NA,784,NA,7098,NA,2016
"268","48","029","0500000US48029",99633,NA,90425,NA,623321,NA,2016
"269","48","023","0500000US48023",277,NA,304,NA,1703,NA,2016
"270","48","121","0500000US48121",22433,NA,15793,NA,265790,NA,2016
"271","48","167","0500000US48167",15199,NA,13104,NA,115685,NA,2016
"272","48","393","0500000US48393",7,NA,12,NA,342,NA,2016
"273","48","463","0500000US48463",1605,NA,1632,NA,8512,NA,2016
"274","48","037","0500000US48037",6370,NA,5186,NA,33586,NA,2016
"275","48","263","0500000US48263",35,NA,36,NA,284,NA,2016
"276","48","425","0500000US48425",617,NA,368,NA,3241,NA,2016
"277","48","199","0500000US48199",2613,NA,2189,NA,20408,NA,2016
"278","48","289","0500000US48289",987,NA,656,NA,6279,NA,2016
"279","48","351","0500000US48351",741,NA,773,NA,4629,NA,2016
"280","48","389","0500000US48389",674,NA,506,NA,3764,NA,2016
"281","48","453","0500000US48453",56408,NA,38749,NA,437831,NA,2016
"282","48","087","0500000US48087",190,NA,200,NA,1097,NA,2016
"283","48","143","0500000US48143",3620,NA,1744,NA,14197,NA,2016
"284","48","345","0500000US48345",66,NA,55,NA,475,NA,2016
"285","48","083","0500000US48083",638,NA,458,NA,3407,NA,2016
"286","48","325","0500000US48325",2052,NA,2149,NA,15104,NA,2016
"287","48","213","0500000US48213",5021,NA,4333,NA,29785,NA,2016
"288","48","277","0500000US48277",3866,NA,3695,NA,19077,NA,2016
"289","48","267","0500000US48267",404,NA,276,NA,2119,NA,2016
"290","48","477","0500000US48477",1596,NA,1055,NA,11984,NA,2016
"291","48","429","0500000US48429",618,NA,513,NA,3338,NA,2016
"292","48","003","0500000US48003",552,NA,454,NA,5392,NA,2016
"293","48","177","0500000US48177",1253,NA,1125,NA,6611,NA,2016
"294","48","305","0500000US48305",412,NA,403,NA,2157,NA,2016
"295","48","505","0500000US48505",1314,NA,1403,NA,4501,NA,2016
"296","48","221","0500000US48221",2163,NA,1858,NA,21040,NA,2016
"297","48","269","0500000US48269",3,NA,2,NA,114,NA,2016
"298","48","073","0500000US48073",3602,NA,2946,NA,17683,NA,2016
"299","48","119","0500000US48119",382,NA,346,NA,1971,NA,2016
"300","48","253","0500000US48253",834,NA,687,NA,5580,NA,2016
"301","48","249","0500000US48249",2812,NA,2193,NA,13557,NA,2016
"302","48","111","0500000US48111",331,NA,247,NA,2360,NA,2016
"303","48","157","0500000US48157",15796,NA,15876,NA,214126,NA,2016
"304","48","235","0500000US48235",74,NA,23,NA,632,NA,2016
"305","48","489","0500000US48489",2119,NA,1578,NA,5798,NA,2016
"306","48","115","0500000US48115",781,NA,592,NA,4329,NA,2016
"307","48","373","0500000US48373",3062,NA,2987,NA,17790,NA,2016
"308","48","391","0500000US48391",449,NA,370,NA,2761,NA,2016
"309","48","467","0500000US48467",2986,NA,2237,NA,19059,NA,2016
"310","48","055","0500000US48055",1939,NA,2186,NA,12664,NA,2016
"311","48","487","0500000US48487",820,NA,993,NA,5219,NA,2016
"312","48","317","0500000US48317",198,NA,91,NA,1629,NA,2016
